t,N,n_points,base_seed_requested,effective_base_seed,state_seed,family,family_min_jtot,health_check,corr_J_rho,corr_J_tot,corr_SL,corr_P_pair,corr_N_pair,corr_N_env,target_max,target_mean,J_tot_min_grid,J_tot_mean_grid,state_idx
0.05,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.24113141515186445,0.39135687628248506,-0.2525876735770039,-0.6285690161517932,-0.5583360445283798,0.3863995210479422,0.0015148339079270729,0.00039186232199727827,2.146516379699357e-15,17.432896489599834,0
0.075,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.2593717539052404,0.4522179529574293,-0.2387428974202236,-0.6813773175375626,-0.6396016425088282,0.4466419567589806,0.0036246472933113344,0.0010047352483653967,2.146516379699357e-15,17.432896489599834,0
0.1,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.33433205956319506,0.5502175826019714,-0.20856931579853843,-0.7273049127293063,-0.6657484394946057,0.44938579186718436,0.007312128282127854,0.0021917518244384065,2.146516379699357e-15,17.432896489599834,0
0.125,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.48569091502519807,0.6436293348550974,-0.12690705053007095,-0.740144315576786,-0.6938871610169981,0.4125497773184962,0.01391674407107454,0.004538368602868801,2.146516379699357e-15,17.432896489599834,0
0.15,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.6521510799048716,0.737708826719173,0.045538180370842236,-0.7253685313340817,-0.7687928407690714,0.38455341767698054,0.02391470426402264,0.009027671795932344,2.146516379699357e-15,17.432896489599834,0
0.1625,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.713567266144375,0.7826333828826099,0.15189006024721258,-0.7154666837756251,-0.804788646503628,0.37887865978732727,0.029700025617540114,0.012294812131332109,2.146516379699357e-15,17.432896489599834,0
0.175,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.757093638197846,0.8194372656512657,0.25974557953045474,-0.7075580773035292,-0.8142048345888233,0.3671051656145104,0.0366300544773755,0.01618413648370252,2.146516379699357e-15,17.432896489599834,0
0.1875,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.784995023010475,0.8468681979774174,0.3655297917742759,-0.7032495145846835,-0.7949948714946614,0.3498460033179714,0.04359144891421929,0.02049388187968718,2.146516379699357e-15,17.432896489599834,0
0.2,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.8018871110170426,0.8631565705770126,0.4550202241804748,-0.7100645433549486,-0.7582129041323998,0.3270970062659036,0.05172325467011017,0.02494951711227984,2.146516379699357e-15,17.432896489599834,0
0.2125,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.812917273616733,0.8721857221347968,0.5283570138010897,-0.7282125194795309,-0.7218799358807377,0.298686522425991,0.060397314970151876,0.029432408147530415,2.146516379699357e-15,17.432896489599834,0
0.225,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.8190321714592526,0.8761832373067601,0.5873180472627667,-0.7545159398725059,-0.6869122932405383,0.26260277641396024,0.06831186193530261,0.0339015456249009,2.146516379699357e-15,17.432896489599834,0
0.2375,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.8184726660587373,0.8742705804121887,0.631989221208964,-0.785848529229517,-0.6512435561039192,0.21681619823483042,0.075443687288437,0.03845257975564902,2.146516379699357e-15,17.432896489599834,0
0.25,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.809683152603222,0.865942475887239,0.664482621445205,-0.817269940296833,-0.6142040050196349,0.16079090689624392,0.08102200992488304,0.0431929700595215,2.146516379699357e-15,17.432896489599834,0
0.27,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7768459630932667,0.8389335668960388,0.7009273252370303,-0.8519025529313401,-0.5506401767918876,0.05314563049984682,0.08826650509144884,0.05105057115816182,2.146516379699357e-15,17.432896489599834,0
0.29,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7401527511177605,0.812044991663693,0.7514971428154155,-0.8446040296104012,-0.5056045271576194,-0.05484165228835162,0.09265616878174986,0.05842890463679597,2.146516379699357e-15,17.432896489599834,0
0.31,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7365215348545356,0.8206956119821762,0.8232551167666732,-0.8129761502225358,-0.46233214600140216,-0.10193646577982056,0.09727746096559109,0.06305169077450659,2.146516379699357e-15,17.432896489599834,0
0.33,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7573951635940888,0.8547715743104403,0.8659450053006439,-0.8245050513551112,-0.42930008362519684,-0.08229871545538567,0.09899102923410859,0.06374680339190858,2.146516379699357e-15,17.432896489599834,0
0.35,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7790046131538682,0.8866038628732916,0.8919167420930778,-0.8582335258250944,-0.43840222916111177,-0.06317558931259121,0.09933963714316997,0.062084430299839885,2.146516379699357e-15,17.432896489599834,0
0.37,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7895557334779956,0.905128871423365,0.9094999932826695,-0.8834206937667365,-0.4979822826768328,-0.06467274747355074,0.09662957975557689,0.05981681202720446,2.146516379699357e-15,17.432896489599834,0
0.39,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7933656948325816,0.9122042092214757,0.9243272273475143,-0.8901646061892085,-0.6024539215755874,-0.08368443220988551,0.0931463822064446,0.058115344655694616,2.146516379699357e-15,17.432896489599834,0
0.41000000000000003,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.8031559942423437,0.9131790340490947,0.9359801171471223,-0.8864438165734664,-0.7254881686818506,-0.11058592802937138,0.09295597150493415,0.05725301988686577,2.146516379699357e-15,17.432896489599834,0
0.43,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.8263626830573683,0.9120313135910111,0.944012185553924,-0.8772283332545757,-0.8043744095367941,-0.1396382509438925,0.0952335972133356,0.05704889001331053,2.146516379699357e-15,17.432896489599834,0
0.45,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.8552849433694719,0.9076956784058484,0.948542702566932,-0.8632872716130314,-0.8392138006011586,-0.1712698756520935,0.09684618404405196,0.057194892120833125,2.146516379699357e-15,17.432896489599834,0
0.5,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.8550822957677363,0.8515812403449151,0.9385634476448325,-0.8281717337445126,-0.7375444672166369,-0.2687024671767835,0.10253470626668668,0.060131498290546564,2.146516379699357e-15,17.432896489599834,0
0.55,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.6955155512636139,0.6895540721728708,0.8469813536336247,-0.7986888713139741,-0.5855859525296203,-0.3651976700269371,0.11206109266466666,0.06773956821232148,2.146516379699357e-15,17.432896489599834,0
0.6,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.510094165287744,0.5161494083404597,0.7062442984468642,-0.714443783216176,-0.45246631768329076,-0.4357561863358069,0.1034969003801444,0.07301594935497362,2.146516379699357e-15,17.432896489599834,0
0.6499999999999999,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.6792421909961106,0.6820621378643076,0.7843350866314422,-0.7908556391360574,-0.6991310360845975,-0.4589922541988384,0.10562815569138786,0.07173856017659698,2.146516379699357e-15,17.432896489599834,0
0.7,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.743047564415334,0.7644841346543273,0.815198248348427,-0.8174148841303236,-0.8131984699857008,-0.5365308657326531,0.10192632888060216,0.0699138980215755,2.146516379699357e-15,17.432896489599834,0
0.725,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.746459389442558,0.7740258793803118,0.8269787156873493,-0.7986717181402129,-0.8288018280014372,-0.5499805167255285,0.10089527532221743,0.0697520901567496,2.146516379699357e-15,17.432896489599834,0
0.75,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7589844006221622,0.7846479156096942,0.8389731608374945,-0.7668595500135614,-0.8378208774177585,-0.5537080173464551,0.10244138501911089,0.06929437124371624,2.146516379699357e-15,17.432896489599834,0
0.775,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7822544793131483,0.8029466939839229,0.8565540033403484,-0.7115656671706447,-0.8482001524674962,-0.5564315461544108,0.10000520592191611,0.0681806905747394,2.146516379699357e-15,17.432896489599834,0
0.8,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7914030537778612,0.8212884152420012,0.8715712515430075,-0.6038271451898677,-0.8470382675179478,-0.5489760126973043,0.09652934536071199,0.06659303441765353,2.146516379699357e-15,17.432896489599834,0
0.825,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7742657546291476,0.8404508501119659,0.8884000645486232,-0.4430820193854031,-0.8395582614919427,-0.5171667300000752,0.09539823353616447,0.06457694607031945,2.146516379699357e-15,17.432896489599834,0
0.85,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7447308133064174,0.857922606953211,0.9119877257201612,-0.30604582075741604,-0.8464989869052574,-0.459847543335453,0.09335563924841912,0.061982400185640975,2.146516379699357e-15,17.432896489599834,0
0.875,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7236006567066781,0.863075632326011,0.9244049984047822,-0.2836473042491529,-0.8477675098591163,-0.4205918061360974,0.09242761966927364,0.05966992206788789,2.146516379699357e-15,17.432896489599834,0
0.9,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.7136589811320319,0.8569727937905948,0.9252934340334634,-0.32488079052270447,-0.8053399204957702,-0.4137115925365778,0.09286808361398931,0.058657097654677415,2.146516379699357e-15,17.432896489599834,0
0.95,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.699155280791185,0.8175036099455598,0.9245251969848454,-0.5111479739122609,-0.8124198243628381,-0.42717104892453994,0.09319255256253546,0.05991499826870209,2.146516379699357e-15,17.432896489599834,0
1.0,9,144,1,1,1000,broad_xyz,21.99112410904393,False,0.6857565518290433,0.7555631503365732,0.9112391588531008,-0.7980332988334993,-0.8240312278612927,-0.4437108226296939,0.09341586200980696,0.062969377663516,2.146516379699357e-15,17.432896489599834,0
