t,N,n_points,base_seed_requested,effective_base_seed,state_seed,family,family_min_jtot,health_check,corr_J_rho,corr_J_tot,corr_SL,corr_P_pair,corr_N_pair,corr_N_env,target_max,target_mean,J_tot_min_grid,J_tot_mean_grid,state_idx
0.05,5,144,1,1,1000,broad_xyz,22.359644512058754,False,-0.18892864911265203,-0.08397811774741311,-0.32443947917635524,-0.36117003105333395,-0.4202071547262511,0.14661871231791943,0.0017404096386671253,8.035472858427365e-05,1.6755229448455879e-15,17.62170968597708,0
0.075,5,144,1,1,1000,broad_xyz,22.359644512058754,False,-0.20075372821238635,-0.09889740203911083,-0.3396646131885511,-0.38394091341283565,-0.44434110642887836,0.14107593014406525,0.004012651418779236,0.00021722216971752138,1.6755229448455879e-15,17.62170968597708,0
0.1,5,144,1,1,1000,broad_xyz,22.359644512058754,False,-0.22829654119089163,-0.08099533106999271,-0.3861867422107084,-0.43660873253971366,-0.46877596851420295,0.1836446254928326,0.006958482944126895,0.0005291201671093647,1.6755229448455879e-15,17.62170968597708,0
0.125,5,144,1,1,1000,broad_xyz,22.359644512058754,False,-0.250187377745093,0.014405521659646753,-0.43528375781650536,-0.4883734993018407,-0.40736759377905485,0.24416440766996705,0.013090720817241885,0.0013881608103306568,1.6755229448455879e-15,17.62170968597708,0
0.15,5,144,1,1,1000,broad_xyz,22.359644512058754,False,-0.16571642104669893,0.26141814266117924,-0.40758301745073683,-0.4682644117452168,-0.18595562112362535,0.24812331385408135,0.02451423589065771,0.00430375247161813,1.6755229448455879e-15,17.62170968597708,0
0.1625,5,144,1,1,1000,broad_xyz,22.359644512058754,False,-0.061466816723220435,0.3773268840699455,-0.3259398014124664,-0.4020820786761678,-0.07291855925526534,0.19140639627816705,0.03296064999194104,0.007311746354948096,1.6755229448455879e-15,17.62170968597708,0
0.175,5,144,1,1,1000,broad_xyz,22.359644512058754,False,0.022552891738721426,0.4580962691133317,-0.24948625726880383,-0.34472828433181757,-0.0021716156378538388,0.10847288395175854,0.04381220614515627,0.011796875844300118,1.6755229448455879e-15,17.62170968597708,0
0.1875,5,144,1,1,1000,broad_xyz,22.359644512058754,False,0.08699210462938334,0.5066212697975351,-0.17156490397305665,-0.28887416367869684,0.05166865434018177,0.047849103240296176,0.05864799122082248,0.01756687609007503,1.6755229448455879e-15,17.62170968597708,0
0.2,5,144,1,1,1000,broad_xyz,22.359644512058754,False,0.11928885876730376,0.5287604640318093,-0.10308988023743858,-0.24484914200427207,0.06940295388822922,-0.02497815067492673,0.07906748412461789,0.025220838413132815,1.6755229448455879e-15,17.62170968597708,0
0.2125,5,144,1,1,1000,broad_xyz,22.359644512058754,False,0.1300151187812766,0.5292691464249702,-0.021727676705506502,-0.19250006836474587,0.07798265217448488,-0.09205987486781247,0.10391723028282368,0.03498449079911829,1.6755229448455879e-15,17.62170968597708,0
0.225,5,144,1,1,1000,broad_xyz,22.359644512058754,False,0.1282116855915155,0.5109678698473589,0.08426025885571868,-0.1208355797061066,0.08829496295495348,-0.1500452748402708,0.13346596376771727,0.047149671126985995,1.6755229448455879e-15,17.62170968597708,0
0.2375,5,144,1,1,1000,broad_xyz,22.359644512058754,False,0.1398635993615514,0.4916509110768782,0.20776222073361233,-0.03524153239574098,0.08752434269986674,-0.20034848041947403,0.1678180820651221,0.06185820057227989,1.6755229448455879e-15,17.62170968597708,0
0.25,5,144,1,1,1000,broad_xyz,22.359644512058754,False,0.16767272976510525,0.4752167208418877,0.32819794788101103,0.045770514579114095,0.060930349594685095,-0.24874524856442265,0.20687144977306268,0.07923920162385584,1.6755229448455879e-15,17.62170968597708,0
