lambda_h_over_Jbar,h,Jbar_RMS,R_internal_norm,J_CD,include_D_transverse,env_label,t,frustration_label,N,mean_I3_minus,median_I3_minus,max_I3_minus,mean_J_rho_exp,median_J_rho_exp,max_J_rho_exp,mean_S_L,mean_P_pair,mean_N_pair_sum,mean_J_tot,std_J_tot,J_tot_analytic,corr_Jrho_I3,corr_SL_I3,corr_Ppair_I3,corr_Npair_I3,mean_edge_participation,mean_edge_imbalance,mean_top2_balance
0.75,0.75,1.0,1.7320508075688772,0.2,True,D_with_TF,0.1,frustrated,784,4.695244290443278e-06,0.0,2.170387241923936e-05,0.1583192488195544,0.16785592852099462,0.24151889100246368,4.307480960359995e-06,0.32751905035024587,0.20074513527350826,0.9742785792574935,1.236190298389434e-16,0.9742785792574934,-0.5276996940613015,0.06974705359287217,-0.6017118623029933,0.053442649895574505,1.749610867461622,0.6604810675391827,0.3557480047577573
0.75,0.75,1.0,1.7320508075688772,0.2,True,D_with_TF,0.1,non_frustrated,784,4.829744996360552e-06,0.0,2.1774204734264317e-05,0.15104804517443932,0.15940788771068934,0.24446209306173006,4.307483078347753e-06,0.3261383677885217,0.20000490965299259,0.9742785792574935,1.236190298389434e-16,0.9742785792574934,-0.5075177271044585,0.06984183127066784,-0.6266078583723773,0.06209036505876581,1.749610867461622,0.6604810675391827,0.3557480047577573
0.75,0.75,1.0,1.7320508075688772,0.2,True,D_with_TF,0.3,frustrated,784,0.0003577754572716228,0.0,0.0014197556062356762,0.15629661885265797,0.142482678813375,0.31617633118636607,0.0003462683941338976,1.5858326861776029,0.4416122121046787,0.9742785792574935,1.236190298389434e-16,0.9742785792574934,-0.4924818652195618,0.23873769202377543,-0.32843121356391264,-0.02722670722847762,1.749610867461622,0.6604810675391827,0.3557480047577573
0.75,0.75,1.0,1.7320508075688772,0.2,True,D_with_TF,0.3,non_frustrated,784,0.0004353571373211402,8.503144536845496e-05,0.0014586040582338648,0.1498660423846417,0.14003231703127117,0.31642694736825777,0.00034627936119441103,1.5380314070256926,0.43773685138419205,0.9742785792574935,1.236190298389434e-16,0.9742785792574934,-0.5764794058766659,0.23774638422838185,-0.4291879552476589,0.05217176505714058,1.749610867461622,0.6604810675391827,0.3557480047577573
0.75,0.75,1.0,1.7320508075688772,0.2,True,D_with_TF,0.5,frustrated,784,0.002929331665205443,3.6568211884514985e-05,0.009946908559620889,0.12398845130746103,0.11170723741487953,0.32828219513517953,0.002456649181052154,2.364506951914879,0.41884085701985607,0.9742785792574935,1.236190298389434e-16,0.9742785792574934,-0.2911226881477106,-0.5198987973858775,0.058393796221953426,-0.3976441613665267,1.749610867461622,0.6604810675391827,0.3557480047577573
0.75,0.75,1.0,1.7320508075688772,0.2,True,D_with_TF,0.5,non_frustrated,784,0.003968445280730158,0.002884483770337563,0.01023915550776084,0.13380035173874466,0.11494390598821302,0.3284241807930736,0.002455664579986262,2.2365606327759533,0.4547723127751093,0.9742785792574935,1.236190298389434e-16,0.9742785792574934,-0.43166892780605054,-0.47147984236185764,0.02988674993602558,-0.22683439728146262,1.749610867461622,0.6604810675391827,0.3557480047577573
0.75,0.75,1.0,1.7320508075688772,0.2,True,D_with_TF,0.9,frustrated,784,0.01783037501523349,0.011686992843339683,0.05970536167172871,0.08931847222762852,0.08023623842444765,0.20918794419368417,0.019084113279209027,2.0793561101683085,0.48558667613040263,0.9742785792574935,1.236190298389434e-16,0.9742785792574934,-0.23063303309590646,-0.3477266617873394,0.03768560610187985,0.012031976300897983,1.749610867461622,0.6604810675391827,0.3557480047577573
0.75,0.75,1.0,1.7320508075688772,0.2,True,D_with_TF,0.9,non_frustrated,784,0.023530895248363982,0.023818966601302595,0.061803578075529844,0.09470805415290617,0.09162369181629222,0.23084546394146763,0.018830678666455807,2.014316189756481,0.45241486916412493,0.9742785792574935,1.236190298389434e-16,0.9742785792574934,0.037363054011984205,-0.1689950325814526,0.23735880848635046,-0.03162495638914919,1.749610867461622,0.6604810675391827,0.3557480047577573
0.75,0.75,1.0,1.7320508075688772,0.2,True,D_with_TF,1.3,frustrated,784,0.03767808666712584,0.03490502532370153,0.12902724602649285,0.10563392334699734,0.0999491291211006,0.23954088313289817,0.05358687827333742,1.9937937294149428,0.4544480177840325,0.9742785792574935,1.236190298389434e-16,0.9742785792574934,-0.19836662268515665,-0.026136746299711633,-0.07484077310342603,-0.17623870094736882,1.749610867461622,0.6604810675391827,0.3557480047577573
0.75,0.75,1.0,1.7320508075688772,0.2,True,D_with_TF,1.3,non_frustrated,784,0.055027246098835726,0.05698849229174682,0.14130149757386726,0.08665152378577727,0.08519172410457682,0.20595404195284,0.05127537914226589,1.8690976399344088,0.4242553300434533,0.9742785792574935,1.236190298389434e-16,0.9742785792574934,-0.3778383471393709,-0.09267753423064459,-0.04845644647749001,0.010082074663559457,1.749610867461622,0.6604810675391827,0.3557480047577573
0.75,0.75,1.0,1.7320508075688772,0.2,True,D_with_TF,2.0,frustrated,784,0.10434700684444886,0.11040315551660726,0.2683958120187454,0.11326965973326941,0.09899139719894309,0.3042374515194246,0.09844839051822078,1.7200697237762703,0.3966624304775252,0.9742785792574935,1.236190298389434e-16,0.9742785792574934,-0.10730026298894936,-0.07674155385347027,-0.3359984996839867,0.07333623117475405,1.749610867461622,0.6604810675391827,0.3557480047577573
0.75,0.75,1.0,1.7320508075688772,0.2,True,D_with_TF,2.0,non_frustrated,784,0.1052488463902258,0.10431069527485215,0.26314181165679346,0.10644353833291989,0.0873485528109742,0.2804946307515647,0.0906182121416088,1.4927389775902387,0.38432298043649316,0.9742785792574935,1.236190298389434e-16,0.9742785792574934,-0.1160297027969321,0.05613579305639709,-0.17502691863082845,-0.14981390450940918,1.749610867461622,0.6604810675391827,0.3557480047577573
