theta,phi,alpha,t,gD,J_tot,J_rho_exp,eta,comm_max,I3_minus,P_pair,N_pair_sum,N_tri_geom,N_tri_min
0.1,0.0,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508777,0.35337325282117565,0.19852804042727734,0.1920809982018901
0.1,0.08267349088394192,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508774,0.3533732528211757,0.1985280404272773,0.1920809982018899
0.1,0.16534698176788384,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508776,0.3533732528211756,0.19852804042727742,0.19208099820189006
0.1,0.24802047265182575,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508781,0.3533732528211757,0.19852804042727729,0.19208099820188984
0.1,0.3306939635357677,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508772,0.3533732528211757,0.19852804042727734,0.1920809982018899
0.1,0.4133674544197096,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508773,0.3533732528211756,0.1985280404272773,0.19208099820188992
0.1,0.4960409453036515,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508786,0.35337325282117577,0.19852804042727745,0.19208099820189
0.1,0.5787144361875934,0.0,0.1,0.2,3.552713678800501e-15,1.2560739669470201e-15,,0.0,0.0,0.7424888219508774,0.3533732528211757,0.1985280404272773,0.1920809982018899
0.1,0.6613879270715354,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508774,0.3533732528211757,0.1985280404272773,0.1920809982018899
0.1,0.7440614179554773,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508786,0.35337325282117577,0.19852804042727745,0.19208099820189
0.1,0.8267349088394192,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508773,0.3533732528211756,0.1985280404272773,0.19208099820188992
0.1,0.9094083997233612,0.0,0.1,0.2,3.552713678800501e-15,1.2560739669470201e-15,,0.0,0.0,0.7424888219508774,0.3533732528211757,0.1985280404272773,0.1920809982018899
0.1,0.992081890607303,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508786,0.35337325282117577,0.19852804042727745,0.19208099820189
0.1,1.074755381491245,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508773,0.3533732528211756,0.1985280404272773,0.19208099820188992
0.1,1.1574288723751869,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508776,0.3533732528211756,0.19852804042727742,0.19208099820189006
0.1,1.2401023632591288,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508774,0.3533732528211757,0.1985280404272773,0.1920809982018899
0.1,1.3227758541430708,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508782,0.35337325282117554,0.19852804042727729,0.19208099820188987
0.1,1.4054493450270127,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508774,0.3533732528211757,0.1985280404272773,0.1920809982018899
0.1,1.4881228359109546,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508772,0.35337325282117565,0.19852804042727734,0.19208099820189004
0.1,1.5707963267948966,0.0,0.1,0.2,3.552713678800501e-15,1.2560739669470201e-15,,0.0,0.0,0.7424888219508773,0.3533732528211756,0.19852804042727734,0.19208099820189006
0.17741033298920508,0.0,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508776,0.3533732528211756,0.1985280404272773,0.19208099820188995
0.17741033298920508,0.08267349088394192,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508776,0.3533732528211756,0.1985280404272773,0.19208099820188995
0.17741033298920508,0.16534698176788384,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508773,0.3533732528211756,0.19852804042727737,0.19208099820189004
0.17741033298920508,0.24802047265182575,0.0,0.1,0.2,3.552713678800501e-15,1.2560739669470201e-15,,0.0,0.0,0.7424888219508776,0.3533732528211756,0.19852804042727729,0.1920809982018899
0.17741033298920508,0.3306939635357677,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508777,0.35337325282117565,0.19852804042727734,0.1920809982018901
0.17741033298920508,0.4133674544197096,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508781,0.3533732528211756,0.19852804042727734,0.1920809982018899
0.17741033298920508,0.4960409453036515,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508773,0.3533732528211756,0.19852804042727737,0.19208099820189004
0.17741033298920508,0.5787144361875934,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508773,0.3533732528211756,0.19852804042727737,0.19208099820189004
0.17741033298920508,0.6613879270715354,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508773,0.3533732528211756,0.19852804042727737,0.19208099820189004
0.17741033298920508,0.7440614179554773,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508773,0.3533732528211756,0.19852804042727737,0.19208099820189004
0.17741033298920508,0.8267349088394192,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508777,0.35337325282117565,0.19852804042727734,0.1920809982018901
0.17741033298920508,0.9094083997233612,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508781,0.3533732528211756,0.1985280404272773,0.19208099820188995
0.17741033298920508,0.992081890607303,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508778,0.35337325282117565,0.19852804042727737,0.19208099820188995
0.17741033298920508,1.074755381491245,0.0,0.1,0.2,3.552713678800501e-15,1.2560739669470201e-15,,0.0,0.0,0.7424888219508776,0.3533732528211757,0.19852804042727729,0.1920809982018899
0.17741033298920508,1.1574288723751869,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508773,0.3533732528211756,0.19852804042727737,0.19208099820189004
0.17741033298920508,1.2401023632591288,0.0,0.1,0.2,3.552713678800501e-15,1.2560739669470201e-15,,0.0,0.0,0.7424888219508776,0.3533732528211757,0.19852804042727729,0.1920809982018899
0.17741033298920508,1.3227758541430708,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508776,0.35337325282117554,0.19852804042727726,0.1920809982018899
0.17741033298920508,1.4054493450270127,0.0,0.1,0.2,3.552713678800501e-15,1.2560739669470201e-15,,0.0,0.0,0.7424888219508784,0.35337325282117577,0.19852804042727729,0.19208099820188987
0.17741033298920508,1.4881228359109546,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508773,0.3533732528211756,0.19852804042727737,0.19208099820189004
0.17741033298920508,1.5707963267948966,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508777,0.35337325282117565,0.19852804042727734,0.1920809982018901
0.25482066597841013,0.0,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508774,0.3533732528211757,0.1985280404272773,0.1920809982018899
0.25482066597841013,0.08267349088394192,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508773,0.3533732528211756,0.19852804042727734,0.19208099820188992
0.25482066597841013,0.16534698176788384,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508774,0.3533732528211757,0.1985280404272773,0.1920809982018899
0.25482066597841013,0.24802047265182575,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508772,0.3533732528211757,0.19852804042727737,0.19208099820189006
0.25482066597841013,0.3306939635357677,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508777,0.3533732528211758,0.19852804042727737,0.19208099820188998
0.25482066597841013,0.4133674544197096,0.0,0.1,0.2,0.0,0.0,,0.0,0.0,0.7424888219508774,0.3533732528211757,0.1985280404272773,0.1920809982018899
